NCBI gene (formerly Entrezgene) ID	Gene name
	AP003400.6
219595	FOLH1B
	UBTFL10
	AP003122.6
390231	TRIM77
	AP003122.4
	AP003122.5
	UBTFL2
	AP003122.2
	AP003122.3
	AP003122.1
	TRIM64DP
	AP004833.2
	AP004833.3
57093	TRIM49
	AP004833.1
	TRIM53BP
	TRIM51BP
	AP005435.1
642446	TRIM64B
	AP005435.4
	AP005435.2
	AP005435.3
	MTND1P35
399939	TRIM49D1
729384	TRIM49D2
	AP004607.3
	AP004607.9
	AP004607.8
	AP004607.1
120146	TRIM64
	AP004607.7
	TRIM51EP
	TRIM53AP
	AP004607.6
642612	TRIM49C
	AP004607.2
	AP004607.4
	TRIM64EP
	AP004607.5
	AP000827.1
642623	UBTFL1
	AP000648.2
	AP000648.9
	AP000648.1
	AP000648.3
10003	NAALAD2
	AP000648.4
26973	CHORDC1
	AP002364.1
101929222	DISC1FP1
	TUBAP2
100616186	MIR4490
	AP002782.1
100302228	MIR1261
	AP001002.3
	AP001002.1
	AP001002.2
	OSBPL9P2
	OSBPL9P3
	LINC02748
	AP003485.2
	AP003485.1
	AP002791.1
	LINC02756
	TUBB4BP4
	AP002799.1
	RPL7AP57
	NDUFB11P1
120114	FAT3
	PGAM1P9
	AP000722.1
	RPS3AP42
	AP003718.1
105369431	LINC02746
	AP003171.2
	SNRPGP16
	AP003171.1
4544	MTNR1B
	RPL26P31
	AP002371.1
	AP003072.4
120103	SLC36A4
	AP003072.2
	AP003072.5
	AP003072.3
	AP003072.1
	AP003969.1
	AP003969.2
159989	DEUP1
56935	SMCO4
	SRP14P2
	RN7SL223P
	AP003499.5
	AP003499.4
	AP003499.1
85459	CEP295
619383	SCARNA9
100158262	SCARNA9
	AP003499.3
	AP003499.2
	AP001273.1
79101	TAF1D
684959	SNORA25
692063	SNORA32
692075	SNORD6
677792	SNORA1
654320	SNORA8
692072	SNORD5
677805	SNORA18
100302240	MIR1304
	SNORA40
28970	C11orf54
	AP001273.2
9440	MED17
387804	VSTM5
	AP002795.1
	HPRT1P3
341208	HEPHL1
	PHBP16
24145	PANX1
	AP002784.1
	AP002784.2
390243	IZUMO1R
10888	GPR83
4361	MRE11
100302275	MIR548L
	AP000786.1
54851	ANKRD49
643037	C11orf97
143689	PIWIL4
2526	FUT4
105369438	AP000943.2
	AP000943.3
	AP000943.1
	LINC02700
154810	AMOTL1
	AP002383.2
	ST13P11
51503	CWC15
55693	KDM4D
	AP002383.1
390245	KDM4E
	AP002383.5
	AP002383.3
	AP002383.4
	KDM4F
	AP001264.1
10929	SRSF8
23052	ENDOD1
	BUD13P1
	AP000787.2
101929295	AP000787.1
143686	SESN3
	AP000787.3
	AP001790.1
	AP000820.2
	AP000820.1
	AP001877.1
143684	FAM76B
9702	CEP57
8898	MTMR2
	RNA5SP345
	AP000870.1
84441	MAML2
	AP000779.1
100422991	MIR1260B
79780	CCDC82
8690	JRKL
	JRKL-AS1
	RNA5SP346
105369443	LINC02737
	AP003066.1
	AP003066.2
	MED28P5
	AP001836.1
	LINC02553
	RNA5SP347
105369454	LINC02713
	AP003730.1
	AP001317.1
	AP003038.1
	AP003715.1
	AP002428.1
53942	CNTN5
	RN7SKP53
	RPA2P3
	RN7SL222P
	PPIAP43
100128386	ARHGAP42-AS1
143872	ARHGAP42
	RN7SKP115
5241	PGR
	PGR-AS1
	AP001533.1
7225	TRPC6
100500823	MIR3920
	AP003080.1
	AP000776.1
253935	ANGPTL5
57562	CEP126
85016	CFAP300
	RNA5SP535
	AP001527.1
	AP001527.2
10413	YAP1
	AP000942.2
	AP000942.1
	AP000942.3
	AP000942.4
	RNU6-952P
	AP000942.5
330	BIRC3
329	BIRC2
114908	TMEM123
101928424	AP001830.1
102723838	AP001830.2
4316	MMP7
9313	MMP20
	AP000851.1
	AP000851.2
64066	MMP27
4317	MMP8
100288077	WTAPP1
	AP000619.1
	AP000619.3
4319	MMP10
4312	MMP1
	AP000619.2
4314	MMP3
4321	MMP12
	BOLA3P1
	RNU7-159P
4322	MMP13
	AP001486.3
	AP001486.1
84259	DCUN1D5
	AP001486.2
79659	DYNC2H1
	AP002961.1
	MTCO3P15
	MTATP6P15
	MTCO2P15
	MTCO1P15
	MTND2P26
	MTND1P36
	AP003461.1
	AP002989.1
100616457	MIR4693
80310	PDGFD
	AP003043.1
414301	DDI1
	AP003304.1
	LINC02552
	AP001485.1
	AP002004.1
100506742	CASP12
643733	CASP4LP
837	CASP4
	AP001153.1
838	CASP5
834	CASP1
114769	CARD16
	AP001153.2
	CASP1P2
440068	CARD17
	CASP1P1
59082	CARD18
	OR2AL1P
	AP003181.1
2893	GRIA4
	AP000641.1
	RNU4-55P
	RNU6-277P
	AP000813.1
84437	MSANTD4
143879	KBTBD3
60496	AASDHPPT
	AP001001.1
	AP001001.2
105369473	LINC02719
	AP002001.3
101928535	AP002001.1
	AP002001.2
	AP003173.1
2977	GUCY1A2
	AP001282.2
	AP001282.1
	AP003057.1
	AP000766.1
143884	CWF19L2
	SMARCE1P1
91801	ALKBH8
	AP001823.1
55531	ELMOD1
	AP000889.2
	AP000889.1
6588	SLN
	AP002353.1
54733	SLC35F2
	AP001024.1
54734	RAB39A
	AP003307.1
8065	CUL5
	AP002433.1
38	ACAT1
	AP002433.2
4863	NPAT
472	ATM
	AP001925.1
160140	C11orf65
143888	POGLUT3
23086	EXPH5
1662	DDX10
	RPS2P39
	AP002453.1
	CYCSP29
	AP003027.1
	AP003123.1
	RNU6-654P
	RNA5SP349
	SNORD39
	AP003049.2
399947	C11orf87
	AP003049.1
	AP003102.1
	LINC02715
5962	RDX
	TFAMP2
	AP001981.2
	RPSAP50
	AP001981.1
	AP001889.1
85463	ZC3H12C
	LINC02732
2230	FDX1
57569	ARHGAP20
	HNRNPA1P60
	AP002963.1
	AP003973.4
	RNA5SP350
	AP003973.2
105369490	LINC02550
	AP003973.3
	RPS17P15
	AP003973.1
341032	C11orf53
399948	COLCA1
120376	COLCA2
	AP002448.1
100616330	MIR4491
5450	POU2AF1
	RNU2-60P
100132078	AP002008.3
	AP002008.2
54766	BTG4
728196	AP002008.4
407041	MIR34B
407042	MIR34C
	AP002008.1
399949	C11orf88
143903	LAYN
23235	SIK2
	AP000925.1
	RN7SKP273
5519	PPP2R1B
	AP001781.1
79796	ALG9
	AP001781.2
	ALG9-IT1
	GNG5P3
91893	FDXACB1
64776	C11orf1
	RPL37AP8
1410	CRYAB
3316	HSPB2
	HSPB2-C11orf52
91894	C11orf52
85458	DIXDC1
	RNA5SP351
	AP000907.1
	AP000907.2
1737	DLAT
	PPIHP1
	RNU6-893P
	AP000907.3
120379	PIH1D2
55216	NKAPD1
26521	TIMM8B
6392	SDHD
	AP002884.2
3606	IL18
	AP002884.1
56158	TEX12
83875	BCO2
	KCTD9P4
	MRPS36P4
	RPS12P21
5805	PTS
	RPS6P16
349633	PLET1
100132686	AP002884.3
	ST13P10
283140	LINC02762
	RNU6-44P
101928823	LINC02763
	RPL23AP62
387810	LINC02764
	AP003063.1
	AP003100.2
105369496	AP003100.3
	AP003100.1
	AC016902.1
101928847	AP000802.1
4684	NCAM1
	RNU7-187P
	NCAM1-AS1
	AP000880.1
54970	TTC12
	AP002840.2
255239	ANKK1
	AP002840.1
1813	DRD2
100422855	MIR4301
80975	TMPRSS5
	MTRF1LP1
9183	ZW10
	RPS29P19
	AP003170.5
	AP003170.4
644672	CLDN25
	ATF4P4
	AP003170.2
	LRRC37A13P
57646	USP28
	AP003170.3
	AP003170.1
	RNU6-1107P
9177	HTR3B
3359	HTR3A
7704	ZBTB16
	AP002755.1
	AP002518.2
4837	NNMT
101928940	AP002518.1
54494	C11orf71
10179	RBM7
	AP002373.1
25996	REXO2
	AP002373.2
	NXPE2P1
	AC020549.3
120400	NXPE1
	AC020549.1
54827	NXPE4
	AC020549.2
120406	NXPE2
	AP003179.1
23705	CADM1
	AP000465.1
	AP000462.3
	AP000462.1
105369507	AP000462.2
	AP003174.2
	AP003174.3
	RPL12P46
	AP003174.1
	AP000997.1
	AP000997.2
	AP000997.3
	AP000997.4
	LINC02698
	AP002991.1
	AP002991.2
	LINC00900
	LINC02703
	AP000797.2
	AP000797.1
	LINC02151
	AP000770.1
101929011	LINC02702
84811	BUD13
	AP006216.1
8882	ZPR1
116519	APOA5
	AP006216.2
	AP006216.3
337	APOA4
345	APOC3
335	APOA1
104326055	APOA1-AS
23387	SIK3
	RNY4P6
	AP000936.3
	AP000936.1
	AP000936.2
	AP005018.2
	AP005018.1
5049	PAFAH1B2
51092	SIDT2
6876	TAGLN
9159	PCSK7
	AP000892.4
257160	RNF214
	AP000892.2
23621	BACE1
	BACE1-AS
	AP000892.3
22897	CEP164
	AP000892.1
	PRR13P3
57453	DSCAML1
	AP000711.1
	AP001554.1
486	FXYD2
	AP000757.2
100533181	FXYD6-FXYD2
	AP000757.1
53826	FXYD6
84000	TMPRSS13
3587	IL10RA
	SMIM35
	RN7SL828P
56649	TMPRSS4
6330	SCN4B
6327	SCN2B
120425	JAML
	HSPE1P18
196264	MPZL3
10205	MPZL2
	AP002800.1
916	CD3E
	AP001582.1
915	CD3D
917	CD3G
9354	UBE4A
	AP001267.1
	AP001267.5
10632	ATP5MG
	AP001267.4
	AP001267.2
4297	KMT2A
	AP001267.3
143941	TTC36
84866	TMEM25
56912	IFT46
	RPL5P30
372	ARCN1
	RNU6-1157P
23187	PHLDB1
	AP000941.1
102466719	MIR6716
11181	TREH
	TREHP1
105369519	AP002954.1
	RNU6-376P
	AP002954.2
1656	DDX6
	AP004609.3
	AP004609.2
	SETP16
643	CXCR5
	AP004609.1
283149	BCL9L
100616376	MIR4492
7379	UPK2
	RN7SL688P
283150	FOXR1
	CCDC84-DT
338657	CCDC84
	RPL23AP64
	AP003392.1
	AP003392.2
6230	RPS25
51399	TRAPPC4
	AP003392.11
2542	SLC37A4
10525	HYOU1
	AP003392.3
	AP003392.4
	AP003392.5
55823	VPS11
3145	HMBS
3014	H2AX
1798	DPAGT1
9854	C2CD2L
25988	HINFP
64137	ABCG4
79671	NLRX1
79849	PDZD3
283152	CCDC153
867	CBL
	RNU6-262P
4162	MCAM
102465453	MIR6756
	AP002956.1
79102	RNF26
	AP003396.1
83552	MFRP
114902	C1QTNF5
9099	USP2
	USP2-AS1
	AP003396.3
	AP003396.2
	AP003396.4
7070	THY1
	THY1-AS1
	DUXAP5
	KRT8P7
	AP003393.1
5818	NECTIN1
	RNU6-1123P
	NECTIN1-AS1
102724301	AP003390.1
	AP001994.1
	AP001994.2
	AP001994.3
	AP001360.3
	LINC02744
	AP001360.1
	AP001360.2
23650	TRIM29
107984399	AP000679.1
220323	OAF
25833	POU2F3
649133	AP001150.1
219902	TLCD5
23365	ARHGEF12
	AP000659.1
2900	GRIK4
	ELOCP22
101929227	AP004147.1
	HMGB1P42
219899	TBCEL
	TBCEL-TECTA
7007	TECTA
	AP001124.1
	RPS4XP12
6309	SC5D
	BMPR1AP2
	AP002365.1
	AP000977.1
6653	SORL1
	AP001977.1
	AP001924.1
	RNU6-256P
	AP001924.2
399959	MIR100HG
406911	MIR125B1
414899	BLID
406882	MIRLET7A2
406892	MIR100
	AP000755.1
	AP000755.2
	RNU4ATAC10P
	RNU4ATAC5P
	RNU6-592P
	GLULP3
	AP002469.1
84959	UBASH3B
	AP002762.3
	AP002762.1
	AP002762.2
56253	CRTAM
79864	JHY
	RNU4-23P
	ATP5PBP5
390259	BSX
	AP003040.1
	RPL34P23
	RPS26P43
	RPL31P47
3312	HSPA8
85391	SNORD14E
85390	SNORD14D
85389	SNORD14C
	AP000926.2
79827	CLMP
	AP000926.1
	AP001970.1
	LINC02727
	PHBP17
57476	GRAMD1B
100616319	MIR4493
	SF3A3P2
55800	SCN3B
	AP002765.1
7753	ZNF202
390260	OR6X1
	RNU1-21P
390261	OR6M1
	OR6M2P
	OR6M3P
338661	TMEM225
338662	OR8D4
219875	OR4D5
219874	OR6T1
219873	OR10S1
79490	OR10G6
	OR10G5P
390264	OR10G4
219870	OR10G9
219869	OR10G8
390265	OR10G7
	OR10D5P
	OR10D4P
	OR10N1P
4013	VWA5A
	OR10D1P
26497	OR10D3
	OR8F1P
	OR8G3P
26492	OR8G2P
	OR8G7P
26494	OR8G1
219865	OR8G5
	SLC5A4P1
283159	OR8D1
283160	OR8D2
	OR8B7P
	OR8B6P
	OR8B5P
	OR8B1P
	OR8C1P
26595	OR8B2
390271	OR8B3
	OR8X1P
	AP001804.1
283162	OR8B4
26493	OR8B8
	OR8A2P
	OR8B9P
	OR8B10P
	OR8A3P
	AP000916.1
219858	OR8B12
390275	OR8A1
	OR8Q1P
116337	PANX3
84897	TBRG1
54414	SIAE
	RNA5SP352
53340	SPA17
4900	NRGN
	AP000866.5
23584	VSIG2
90952	ESAM
101929340	AP000866.2
79684	MSANTD2
	AP000866.6
	AP000866.3
100507283	AP000866.1
	AP000866.4
64221	ROBO3
	AP003501.1
54538	ROBO4
	AP003501.2
220296	HEPACAM
641654	HEPN1
	CCDC15-DT
80071	CCDC15
219855	SLC37A2
219854	TMEM218
	KRT18P59
	AP001007.2
103695364	PKNOX2-AS1
63876	PKNOX2
	AP001007.3
	AP001007.1
	RNU6-321P
9638	FEZ1
105369550	FEZ1
403312	AP000708.1
9538	EI24
	RNU6-1156P
3703	STT3A
1111	CHEK1
	RNU2-35P
56	ACRV1
160065	PATE1
399967	PATE2
100169851	PATE3
399968	PATE4
	AP000842.3
219844	HYLS1
83480	PUS3
	AP000842.2
29118	DDX25
	AP000842.1
338667	VSIG10L2
50937	CDON
	NAP1L1P1
	AP000821.1
	AP000821.2
	AP001893.3
	AP001893.2
84881	RPUSD4
	AP001893.1
79607	FAM118B
	RNU4-86P
	RN7SL351P
6734	SRPRA
55572	FOXRED1
	RPL35AP26
114609	TIRAP
	AP001318.1
	AP001318.2
28960	DCPS
	GSEC
6484	ST3GAL4
	AP001318.3
84623	KIRREL3
	KIRREL3-AS1
101929427	AP001783.1
	AP002833.1
	AP002833.3
100874251	KIRREL3-AS2
100422918	MIR3167
	AP002833.2
283165	KIRREL3-AS3
101929473	AP001993.1
	AP003121.1
101929497	LINC02712
	RN7SKP121
	RN7SKP279
	AP003532.1
	DNAJB6P1
	LINC02725
	LINC02098
2113	ETS1
102466104	MIR6090
101929517	ETS1-AS1
101929538	AP001122.1
2313	FLI1
100507392	SENCR
3758	KCNJ1
	AP000920.1
3762	KCNJ5
219833	C11orf45
63970	TP53AIP1
9743	ARHGAP32
	RNU6-876P
	AP000751.1
	RNU6-874P
	ZNF123P
8538	BARX2
	RPS27P20
	AP003500.1
101929557	LINC01395
	AP003327.2
	AP003327.1
120224	TMEM45B
4798	NFRKB
56980	PRDM10
	LINC00167
	AP003041.1
	ELOBP2
	AP003041.2
334	APLP2
	RPL34P21
6768	ST14
29068	ZBTB44
	NDUFAF2P2
	DDX18P5
	RN7SL778P
	ZBTB44-DT
11095	ADAMTS8
170689	ADAMTS15
	AP004371.1
	BAK1P2
102466873	MIR8052
283171	LINC02873
	AP003486.2
	PPP1R10P1
	LINC02551
103611081	AP003486.1
399979	SNX19
	RN7SL167P
	AP002856.3
	AP002856.1
	AP002856.4
	AP002856.2
50863	NTM
	RNU6ATAC12P
101929653	AP003025.1
	AP003025.2
	NTM-AS1
	AP004372.1
	AP000844.2
	AP000844.1
	NTM-IT
	AP000843.1
4978	OPCML
	AP003784.1
	OPCML-IT2
	AP004782.1
	AP003972.1
	OPCML-IT1
	AP004606.1
646522	LINC02743
219938	SPATA19
	AP001979.1
22997	IGSF9B
100616119	MIR4697
	LINC02730
100128239	LINC02731
	AP000911.1
83700	JAM3
	PTP4A2P2
23310	NCAPD3
	AP001775.1
	AP001775.2
112936	VPS26B
29087	THYN1
27034	ACAD8
112937	GLB1L3
	AP000859.1
89944	GLB1L2
27087	B3GAT1
	AP004608.1
	AP004550.1
	AP001999.3
	AP001999.1
	AP001999.2
	LINC02706
729305	LINC02714
	AP003062.2
	LINC02697
	AP003062.1
	LINC02717
	LINC02684
	DDX11L8
100288778	WASH8P
677784	FAM138D
440073	IQSEC3
	AC026369.3
574538	AC026369.1
	AC026369.2
	AC007406.3
6539	SLC6A12
	AC007406.1
101929384	AC007406.4
6540	SLC6A13
102723544	AC007406.2
	AC007406.5
5927	KDM5A
84318	CCDC77
283358	B4GALNT3
4815	NINJ2
	AC006205.2
	RNU7-103P
	AC006205.1
100049716	NINJ2-AS1
	LINC02455
65125	WNK1
	RNU4ATAC16P
	AC004765.1
5893	RAD52
	AC004803.1
23085	ERC1
	HTR1DP1
	AC004672.1
	AC004672.2
100292680	LINC00942
81029	WNT5B
144699	FBXL14
100500816	MIR3649
79602	ADIPOR2
	AC005183.1
	AC005343.1
	RPS4XP14
93589	CACNA2D4
	AC005343.4
654429	LRTM2
	AC005342.2
100271702	LINC00940
196513	DCP1B
775	CACNA1C
	AC005342.1
	CACNA1C-IT1
100874369	CACNA1C-IT2
	AC005344.1
100874234	CACNA1C-AS4
	CACNA1C-IT3
	AC005293.1
	AC005414.1
	CACNA1C-AS3
	AC007618.1
100874235	CACNA1C-AS2
100652846	CACNA1C-AS1
283440	ITFG2-AS1
	AC092471.2
107984539	LINC02371
	IQSEC3P1
	AC092471.1
	RPL23AP14
	CBX3P4
2288	FKBP4
	ITFG2-AS1
	AC005841.1
55846	ITFG2
83714	NRIP2
101929469	TEX52
2305	FOXM1
83695	RHNO1
7289	TULP3
	AC005911.1
	RNU6-1315P
7004	TEAD4
	AC125807.2
	AC125807.1
10867	TSPAN9
	TSPAN9-IT1
	AC005912.2
	AC005912.1
	AC005865.1
	AC005865.2
	LINC02827
	LINC02417
56341	PRMT8
	AC005908.2
	AC005908.1
100129223	THCAT155
84766	CRACR2A
	AC005831.1
	RNU6-174P
	AC006207.1
57097	PARP11
	OTUD4P1
105369609	PARP11-AS1
	AC084375.1
	HSPA8P5
	AC007207.1
103752584	CCND2-AS1
894	CCND2
	AC008012.1
57103	TIGAR
	AC006122.1
8074	FGF23
2251	FGF6
57102	C12orf4
10635	RAD51AP1
8798	DYRK4
	AC005832.2
	AC005832.4
10566	AKAP3
	AC005832.3
	AC005832.1
4704	NDUFA9
	AC005833.1
101929549	GAU1
26290	GALNT8
	AC005833.2
3742	KCNA6
	AC006063.1
	AC006063.3
	AC006063.4
	AC005906.2
3736	KCNA1
	AC006063.2
	AC005906.1
3741	KCNA5
	AC005906.3
101929584	LINC02443
	AC006206.2
	AC006206.1
	AC007848.2
	AC007848.1
4908	NTF3
57101	ANO2
	AC137627.1
7450	VWF
	RN7SL69P
	AC005845.1
928	CD9
	AC006057.1
	ATP5MFP5
55200	PLEKHG6
7132	TNFRSF1A
	RN7SL391P
6337	SCNN1A
4055	LTBR
	AC005840.2
	AC005840.1
	SRP14P1
678655	CD27-AS1
939	CD27
55080	TAPBPL
6843	VAMP1
	AC005840.4
	AC005840.3
51258	MRPL51
9918	NCAPD2
692148	SCARNA10
	AC006064.5
	AC006064.3
2597	GAPDH
	AC006064.4
25900	IFFO1
	AC006064.1
4839	NOP2
	AC006064.6
1108	CHD4
	AC006064.2
677780	SCARNA11
57121	LPAR5
84519	ACRBP
51147	ING4
	AC125494.1
171017	ZNF384
196500	PIANP
	RNU6-781P
	AC125494.3
50813	COPS7A
	AC125494.2
8079	MLF2
5763	PTMS
3902	LAG3
	RN7SL380P
920	CD4
27239	GPR162
10536	P3H3
2784	GNB3
83461	CDCA3
8078	USP5
7167	TPI1
84727	SPSB2
105369632	SPSB2
	RPL13P5
10233	LRRC23
171220	DSTNP2
	U47924.3
2026	ENO2
1822	ATN1
113246	C12orf57
	U47924.2
100147744	RNU7-1
5777	PTPN6
105369635	MIR200CHG
406985	MIR200C
406933	MIR141
	U47924.1
11331	PHB2
677777	SCARNA12
10436	EMG1
10162	LPCAT3
716	C1S
	AC006512.1
	AC006512.2
715	C1R
51279	C1RL
283314	C1RL-AS1
83758	RBP5
	RNU6-485P
	AC018653.3
9746	CLSTN3
	AC018653.4
	AC018653.1
5830	PEX5
	AC018653.2
341392	ACSM4
283316	CD163L1
	AC131206.1
9332	CD163
	GAPDHP31
	NIFKP3
	AC006927.1
	AC006927.2
	AC006927.4
	AC006927.3
	AC006927.5
339	APOBEC1
9573	GDF3
359787	DPPA3
170482	CLEC4C
360030	NANOGNB
79923	NANOG
144195	SLC2A14
	AC006517.2
	AC006517.1
	AC124891.1
	NANOGP1
	AC007536.1
6515	SLC2A3
	AC006511.6
	AC006511.1
	AC006511.4
	HSPD1P12
	AC006511.2
55810	FOXJ2
719	C3AR1
25977	NECAP1
	AC006511.3
	AC006511.5
50856	CLEC4A
642559	POU5F1P3
	AC092111.3
	GCSHP4
440077	ZNF705A
	FAM66C
	DEFB109F
	AC092111.2
	AC092111.1
55138	FAM90A1
	ALG1L10P
	FAM86FP
101927905	LINC02449
	AC092745.5
	ENPP7P5
	AC092745.4
389634	LINC00937
	AC092745.2
	AC092745.1
	AC092745.3
	RPS3AP43
	AC092865.4
	AC092865.3
	AC092865.2
	OR7E140P
	OR7E148P
	OR7E149P
93978	CLEC6A
	AC092865.1
	RNU6-275P
338339	CLEC4D
	SUPT4H1P2
26253	CLEC4E
	AC092746.1
	AC092184.1
57379	AICDA
	AC092184.2
	HADHAP2
8076	MFAP5
	AC092490.2
	AC092490.3
57494	RIMKLB
	RPSAP51
	A2ML1-AS1
	AC092490.1
	A2ML1-AS2
144568	A2ML1
	AC006581.2
1911	PHC1
4074	M6PR
10219	KLRG1
	AC006581.1
	HNRNPA1P34
	VDAC2P2
253128	LINC00612
144571	A2M-AS1
2	A2M
	KRT17P8
	BTG1P1
5858	PZP
	TPT1P12
3	A2MP1
100422872	MIR1244-3
	PTMAP4
100499405	LINC00987
	AC010175.1
	AC009533.1
	SNORA75
	AC009533.2
	AC009533.3
101930452	LINC02367
	AC009533.4
	AC141557.1
	AC141557.2
	DDX12P
	AC092821.3
	AC092821.1
	AC092821.2
3820	KLRB1
	RNU6-700P
	GOT2P3
	AC010186.4
105369728	AC010186.1
374443	AC010186.2
	AC010186.3
29121	CLEC2D
	AC007068.1
	LINC02390
160365	CLECL1
969	CD69
	GCNAP1
51348	KLRF1
9976	CLEC2B
	AC091814.1
100431172	KLRF2
387836	CLEC2A
100506159	LINC02470
400002	CLEC12A-AS1
160364	CLEC12A
51266	CLEC1B
387837	CLEC12B
	AC024224.2
283420	CLEC9A
	AC024224.1
51267	CLEC1A
	RN7SKP161
	HNRNPABP1
64581	CLEC7A
4973	OLR1
120939	TMEM52B
23710	GABARAPL1
	GABARAPL1-AS1
3824	KLRD1
113523642	LINC02617
	LINC02598
101928100	AC022075.1
	KLRC4-KLRK1
22914	KLRK1
100528032	KLRK1
8302	KLRC4
	AC068775.1
3823	KLRC3
3822	KLRC2
3821	KLRC1
255308	EIF2S3B
	SLC25A39P2
	LINC02446
	KLRA1P
55110	MAGOHB
55359	STYK1
8531	YBX3
101928162	LINC02366
	HSPE1P12
50837	TAS2R7
50836	TAS2R8
50835	TAS2R9
5554	PRH1
50839	TAS2R10
	AC006518.1
5554	PRR4
11272	PRR4
	AC018630.2
	AC006518.2
50838	TAS2R13
5555	PRH2
50840	TAS2R14
106707243	TAS2R14
	TAS2R15P
259296	TAS2R50
259295	TAS2R20
259294	TAS2R19
259290	TAS2R31
	TAS2R63P
259292	TAS2R46
	TAS2R64P
259289	TAS2R43
259291	TAS2R43
	AC018630.1
259293	TAS2R30
	AC134349.2
	AC134349.1
100129361	SMIM10L1
353164	TAS2R42
	AC244131.1
	AC244131.2
5544	PRB3
5545	PRB4
5542	PRB1
653247	PRB2
	AC078950.1
	HIGD1AP8
	AC007450.4
	AC007450.3
	DDX55P1
	AC007450.2
	AC007450.1
	RNU7-60P
338817	LINC01252
2120	ETV6
79370	BCL2L14
	PTMAP9
103504734	MIR1244-4
4040	LRP6
	AC007537.1
	RNU6-545P
	AC007621.1
	RNU6-318P
54682	MANSC1
	RPL23AP66
503693	LOH12CR2
118426	BORCS5
	AC007619.2
80824	DUSP16
	AC007619.1
	AC092824.1
1389	CREBL2
	RPL21P136
	AC008115.4
2842	GPR19
	AC008115.2
1027	CDKN1B
	AC008115.3
	AC008115.1
81575	APOLD1
693198	MIR613
	STX8P1
51202	DDX47
	AC007215.1
	AC007688.2
387841	RPL13AP20
9052	GPRC5A
693199	MIR614
100506314	GPRC5D-AS1
55507	GPRC5D
	AC007688.3
	AC007688.1
50865	HEBP1
93164	HTR7P1
	AC023790.2
	AC023790.1
57613	FAM234B
83445	GSG1
2012	EMP1
	AC022276.1
	LINC01559
2904	GRIN2B
	RNA5SP353
	RNU6-590P
	AC007527.1
	AC007527.2
	AC007535.1
	RN7SKP162
	AC092470.1
	AC135001.1
	AC092112.1
	MRPS18CP4
	RNU6-491P
	GNAI2P1
	RPL30P11
55729	ATF7IP
79887	PLBD1
	AC008114.1
	RN7SKP134
	PLBD1-AS1
2984	GUCY2C
	AC010168.1
	AC010168.2
121504	H4-16
55766	H2AJ
51729	WBP11
144608	C12orf60
440087	SMCO3
	AC007655.2
420	ART4
	AC007655.1
4256	MGP
121506	ERP27
397	ARHGDIB
5149	PDE6H
	LINC01489
85004	RERG
	RERG-IT1
100873980	RERG-AS1
	METTL8P1
5800	PTPRO
	AC092183.1
2059	EPS8
	RNU6-251P
	AC073651.1
	AC073651.2
11171	STRAP
51071	DERA
	EGLN3P1
729025	SLC15A5
4257	MGST1
	SUPT16HP1
	AC007528.1
	AC007552.1
55885	LMO3
	AC007552.2
	AC007529.2
	AC007529.1
	AC023512.1
	EEF1A1P16
	AC092793.1
	RNU6-837P
	AC092110.1
	RPL7P40
	PSMC1P8
	TIMM17BP1
	AC048352.1
	LINC02378
100616279	MIR3974
79785	RERGL
5288	PIK3C2G
	NDFIP1P1
	AC092851.1
	ZKSCAN7P1
89869	PLCZ1
	PSMC1P9
	AC087242.1
93661	CAPZA3
	RPL7P6
	MEF2BNBP1
54477	PLEKHA5
	AC092828.1
	RN7SL459P
	RN7SL67P
121536	AEBP2
	PDCD5P1
	AC091805.2
	RNU6-254P
	EEF1A1P4
	AC091805.1
	AC137561.1
	RNU1-146P
	AC024901.1
	TCP1P3
	LINC02398
105369685	AC126468.1
	LINC02468
	AC129102.1
5139	PDE3A
	UBE2L2
	AC112777.1
53919	SLCO1C1
28234	SLCO1B3
338821	SLCO1B3-SLCO1B7
115072896	SLCO1B3-SLCO1B7
	AC011604.1
	SLCO1B7
	AC022335.1
10599	SLCO1B1
6579	SLCO1A2
3375	IAPP
79912	PYROXD1
	ELOCP31
5965	RECQL
51026	GOLT1B
80763	SPX
2998	GYS2
	AC010197.2
3945	LDHB
	AC010197.1
	AC010185.1
3764	KCNJ8
10060	ABCC9
	AC008250.1
	AC008250.2
	AC092862.1
55907	CMAS
6489	ST8SIA1
	AC007671.1
	SULT6B2P
	RNU1-149P
	AC087318.1
	AC053513.1
9847	C2CD5
	AC053513.2
	LRRC34P1
	AC087241.1
	AC087241.2
55500	ETNK1
	AC084816.1
	RPS27P22
	AC084819.1
	AC087258.1
101928441	AC087235.2
	AC087235.1
6660	SOX5
	AC087260.1
100126320	MIR920
101928471	SOX5-AS1
144360	LINC00477
	KNOP1P1
	AC087312.1
	AC023796.1
	RN7SL38P
586	BCAT1
	AC023796.2
	AC026310.3
	AC026310.2
	AC026310.1
196415	C12orf77
4033	IRAG2
	CENPUP2
	AC023510.1
	AC023510.2
55259	CASC1
144363	ETFRF1
3845	KRAS
	AC092794.1
	AC092794.2
	AC087239.1
	RNU4-67P
	AC092451.1
160492	LMNTD1
	AC092451.2
	FAM133GP
	TUBB4BP1
	AC022367.1
	RN7SKP262
	AC019209.3
	TDGP1
	AC019209.2
100422897	MIR4302
	AC019209.1
